bet,Paper Name:,Reviewer Name,DOI (of paper),"Link to artefact repository (Github, Zenodo, Figshare etc)",Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),"If F1 is met, please input the DOI of the latest version",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,Please input any links to GitHub if available,Any additional notes for F?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,Any additional notes for A?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Any additional notes for I?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",(R1) Please list the software attributes in the repository.,R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,Is the software sufficiently modular?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",Any additional notes for R?,Anything else to note?,How long did this form take to complete?
06/03/2026 10:56:33,From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,Freddie,10.1109/ICSE55347.2025.00217,https://zenodo.org/records/12793108,2025,ICSE,"Heriot Watt University, FHDW",Agile development,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,"They have made a zenodo for their results but not for the tool itself, marking as artefact unavailable but here is the page https://zenodo.org/records/12793108",Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"This one was hard to mark. Although their data and results were FAIR, they had not made the artefact itself available anywhere so I am marking based off FAIR4RS",06:38:00
06/03/2026 11:05:25,LiSSA: Toward Generic Traceability Link Recovery Through Retrieval-Augmented Generation,Freddie,10.1109/ICSE55347.2025.00186,https://zenodo.org/records/14959101,2025,ICSE,Karlsruhe Institute of Technology,RAG,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,https://doi.org/10.5281/zenodo.14959101,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/ArDoCo/Replication-Package-ICSE25_LiSSA-Toward-Generic-Traceability-Link-Recovery-through-RAG,F1.1. there is a dataset but is small enough for it to be okay to be included,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,Yes,Yes,It's integrated with ChatGPT I suppose,Yes,"Multiple READMEs, CITATION.cff, paper preprint",Yes,Yes,Yes,Yes,pom.xml (Maven / Java),Yes,,Docker,Yes,Yes,"R3 not many comments but README is sufficiently detailed and code is readable
Needs an OpenAI API key :(",,08:30:00
07/03/2026 15:06:08,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,Freddie,10.1109/ICSE55347.2025.00179,https://github.com/selab-gatech/AutoRestTest/,2025,ICSE,"Georgia Institute of Technology, IBM",AI and Testing,,Yes,No,,No,No,No,No,No,Yes,https://github.com/selab-gatech/AutoRestTest/,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,Yes,Works with numerous LLMs,Yes,README only but is very detailed,Yes,Yes,Yes,No,"requirements.txt (pip), pyproject.toml, poetry.lock, configurations.toml",Yes,,Docker,Yes,No,"R3: readable but not very well documented
Needs LLM API key",,08:02:00
07/03/2026 15:19:57,Clozemaster: Fuzzing Rust Compiler by Harnessing Llms for Infilling Masked Real Programs,Freddie,10.1109/ICSE55347.2025.00175,https://github.com/clozeMasterPro/clozeMaster,2025,ICSE,Nanjing University,AI and security,Artefact Available,Yes,No,,No,No,No,No,No,Yes,https://github.com/clozeMasterPro/clozeMaster,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,Yes,Infeasable,,Yes,No: no datasets used,No: infeasible,,Yes,Detailed enough README,Yes,Yes,Yes,No,requirements.txt (pip),No,,Docker,Yes,Yes,R3: code is readable but there is a lack of comments and docstrings,,07:35:00
08/03/2026 13:36:27,LLM Based Input Space Partitioning Testing for Library APIs,Freddie,10.1109/ICSE55347.2025.00153, https://github.com/FudanSELab/LISP,2025,ICSE,"Fudan University, Nanyang Technological University",AI and testing,"Artefact Available, Artefact Functional",Yes,No,,No,No,No,No,No,Yes,https://github.com/FudanSELab/LISP,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: no datasets used,Yes,"I1: yes for the most part, but LLM prompt files are named and formatted in a nonstandard way
AFAIK you should be able to test it on whatever API",Yes,Multiple READMEs,No,Yes,Yes,Yes,pom.xml (Maven / Java),Yes,"Docstrings, Inline comments",,Yes,Yes,Needs OpenAI API key,,07:41:00
08/03/2026 13:50:37,Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,Freddie,10.1109/ICSE55347.2025.00032,"https://doi.org/10.5281/zenodo.13329464,https://github.com/amirdeljouyi/UTGen",2025,ICSE,Delft University of Technology,AI and testing,"Artefact Available, Artefact Functional",Yes,Yes,https://doi.org/10.5281/zenodo.14891802,Yes,Yes,Yes,Yes,Yes,Yes,https://github.com/amirdeljouyi/UTGen,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,Yes,No,Infeasable,"There is an informational website but the tool itself is not on there
Only docker reproduction packages are available",Yes,No: no datasets used,No: infeasible,,Yes,Detailed README,Yes,Yes,Yes,No,,No,,Docker,No,No,"R3 unable to assess
Results for each RQ are provided but no instructions on how to reproduce",,09:01:00
08/03/2026 14:21:48,exLong: Generating Exceptional Behavior Tests with Large Language Models,Freddie,10.1109/ICSE55347.2025.00176, https://github.com/EngineeringSoftware/exLong,2025,ICSE,"University of Texas at Austin, University of Waterloo",AI and testing,Artefact Available,Yes,No,,No,No,No,No,No,Yes, https://github.com/ EngineeringSoftware/exLong,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: dataset must be either downloaded or imported through huggingface and is not included within the source code,Yes,"README, REPLICATION.md",Yes,Yes,Yes,Yes,"requirements.txt (pip), pyproject.toml",No,"Docstrings, Inline comments",,Yes,Yes,,,09:00:00
09/03/2026 20:06:48,TOGLL: Correct and Strong Test Oracle Generation with LLMS,Freddie,10.1109/ICSE55347.2025.00098,https://figshare.com/articles/dataset/Artifact_TOGLL_Correct_and_Strong_Test_OracleGeneration_with_LLMs/28282721?file=51939686,2025,ICSE,University of Virginia,AI and testing,Artefact Available,Yes,Yes,https://doi.org/10.6084/m9.figshare.28282721,No,Yes,Yes,Yes,Yes,No,,"They said in the paper ""we will make this tool available"" and then didn't cite it
The archive is 6GB which likely either means they've got a large artefact or they've included the dataset in there and not met F1.1",Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: based on the paper I'd say its fine
I2: dataset is included in the archive",No,README only and it's a pdf rather than the standard markdown,Yes,Yes,Yes,No,pyproject.toml,No,,,No,Yes,R3: can't say for certain without downloading the zip,,11:31:00
09/03/2026 20:14:44,Answering User Questions About Machine Learning Models Through Standardized Model Cards,Freddie,10.1109/ICSE55347.2025.00066,https://github.com/asgaardlab/hf-question-answer,2025,ICSE,University of Alberta,Software Engineering for AI,,Yes,No,,No,No,No,No,No,Yes,https://github.com/asgaardlab/hf-question-answer,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,Detailed README,No,Yes,Yes,Yes,requirements.txt (pip),No,,,Yes,Yes,R3: code is readable but could do with some comments,,06:40:00
09/03/2026 20:26:52,Fairness Testing Through Extreme Value Theory,Freddie,10.1109/ICSE55347.2025.00070,https://figshare.com/s/5b4fe7b676e1f7f7b107?file=45224347,2025,ICSE,,,,Yes,No,,No,No,No,No,No,Yes,,Very very bare bones figshare with a 1.32GB rar file,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,"I1: assumption but dataset used seems to be in standard format
I2: dataset included in package",Yes,README only,Yes,No,Yes,Yes,requirements.txt (pip),No,Docstrings,Docker,No,Yes,Codebase is a bit messy but there is a guide on how to reproduce evaluation,,09:42:00
10/03/2026 13:14:28,Fixing Large Language Models' Specification Misunderstanding for Better Code Generation,Freddie,10.1109/ICSE55347.2025.00108,https://github.com/tianzhaotju/muFiX,2025,ICSE,Tianjin University,LLM code generation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/tianzhaotju/muFiX,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: you have to externally download the dataset yourself,Yes,Detailed enough README,Yes,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",,Yes,Yes,,,06:58:00
10/03/2026 14:00:29,SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,Freddie,10.1109/ICSE55347.2025.00140,https://anonymous.4open.science/r/FlowGen-LLM-E842,2025,ICSE,DePaul University,LLM and code generation,,Yes,No,,No,No,No,No,No,Yes,,GitHub has been anonymised,Yes,Yes,Not necessary,Software is currently available,Download,No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,I2: dataset unavailable within repository,Yes,Detailed enough README,No,No,Yes,No,requirements.txt (pip),Yes,,,No,No,"R3 code readable but some commented out debug lines and commented out blocks of code
Needs OpenAI API key
They give their eval results but unclear how to reproduce",,07:50:00
10/03/2026 14:18:02,Dockerfile Flakiness: Characterization and Repair,Freddie,10.1109/ICSE55347.2025.00238,https://github.com/flakidock/docker-flakiness-study,2025,ICSE,University of British Columbia,LLMs in SE,,Yes,No,,No,No,No,No,No,Yes,https://github.com/flakidock/docker-flakiness-study,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,Yes,"Multiple READMEs, one for the tool, one for the dataset",No,Yes,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,"R3: software is readable and has inline comments where appropriate
Needs numerous API keys",,06:26:00
11/03/2026 11:00:04,Evaluating Garbage Collection Performance Across Managed Language Runtimes,Freddie,10.1109/ICSE55347.2025.00218,,2025,ICSE,"University of Chinese Academy of Sciences, Nanjing Institute of Software Technology",Garbage collection,,Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,,03:21:00
11/03/2026 11:08:08,Module-Aware Context Sensitive Pointer Analysis,Freddie,10.1109/ICSE55347.2025.00227,,2025,ICSE,"Institute of Computing Technology, University of Chinese Academy of Sciences",Pointer analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,Artefact Unavailable,,"for the life of me I cannot find the artefact, sorry",06:12:00
11/03/2026 11:17:11,Code Comment Inconsistency Detection and Rectification Using a Large Language Model,Freddie,10.1109/ICSE55347.2025.00035,https://github.com/aiopsplus/C4RLLaMA,2025,ICSE,"Nanjing University, Southern Cross University, Zhongxing Telecom Equipment",AI and general SE practices,,Yes,No,,No,No,No,No,No,Yes,https://github.com/aiopsplus/C4RLLaMA,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No: infeasible,,No,Short README,Yes,No,Yes,Yes,requirements.txt (pip),No,,,Yes,No,"R1.2. it has 3 commits so I wouldn't count it as ""detailed""
R3. code is readable but lacks comments which is ironic because that's the main focus of the paper",,08:42:00
12/03/2026 12:26:33,Context Conquers Parameters: Outperforming Proprietary Llm in Commit Message Generation,Freddie,10.1109/ICSE55347.2025.00048,https://github.com/aaron-imani/omega,2025,ICSE,University of California Irvine,LLMs in commit message generation,,Yes,No,,No,No,No,No,No,Yes,https://github. com/aaron-imani/omega,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No: infeasible,,Yes,Very detailed README,No,Yes,Yes,Yes,,Yes,,,Yes,Yes,"R3: readable but comments are nonexistent
Needs API keys for LLMs",,14:51:00
12/03/2026 13:24:32,Hedgecode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,Freddie,10.1109/ICSE55347.2025.00008,https://github.com/repo-anonymous/hedgecode,2025,ICSE,University of Luxembourg,Code search,,Yes,No,,No,No,No,No,No,Yes,https://github.com/repo-anonymous/hedgecode,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,Yes,No but no clear constraints not to,,Yes,Detailed README,No,Yes,Yes,Yes,custom yaml file,No,Inline comments,,Yes,Yes,R3 code readable with some comments,,08:27:00
12/03/2026 13:38:02,Reasoning Runtime Behavior of a Program with LLM: How Far are We?,Freddie,10.1109/ICSE55347.2025.00012,https://github.com/r-eval/REval/tree/2f148b913deb4ae0e0ce41f0245ef35054ede8d6,2025,ICSE,"Zhejiang University, York University, Peking University",LLM evaluation,,Yes,No,,No,No,No,No,No,Yes,https://github.com/r-eval/REval/tree/2f148b913deb4ae0e0ce41f0245ef35054ede8d6,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Yes,They have a cute leaderboard here which summarises their results https://r-eval.github.io/,Yes,No: no datasets used,No: infeasible,I2: there is some data but I wouldn't say it's big enough to qualify as a dataset,No,"README only, fairly simple",No,No,Yes,Yes,requirements.txt (pip),No,Docstrings,,Yes,Yes,,,07:47:00
13/03/2026 11:22:45,Source Code Summarization in the Era of Large Language Models,Freddie,10.1109/ICSE55347.2025.00034, https://github.com/wssun/LLM4CodeSummarization,2025,ICSE,"Nanyang Technological University, Nanjing University, University of New South Wales, Chongqing University",LLMs and code summaries,,Yes,No,,No,No,No,No,No,Yes, https://github.com/wssun/ LLM4CodeSummarization,,Yes,Yes,Not necessary,Software is currently available,"Git (clone), Download",No,No,Yes,Infeasable,,Yes,No: datasets used but not referenced appropriately,No but no clear constraints not to,"I2: full dataset is just dumped in a Google drive, there is a dataset folder but it just autodownloads",No,README only,Yes,Yes,Yes,Yes,requirements.txt (pip),Yes,Inline comments,,Yes,Yes,Presumably you'd need some kind of API key although it's unclear where to put it,,07:13:00
13/03/2026 11:31:26,Template-Guided Program Repair in the Era of Large Language Models,Freddie,10.1109/ICSE55347.2025.00030,https://sites.google.com/view/neuraltemplaterepair,2025,ICSE,"Technical University of Munich, Nanyang Technological University, Beihang University",Automated program repair,,Yes,No,,No,No,No,No,No,Yes,,,Yes,Yes,Yes,Software is currently available,Download,No,No,Yes,Infeasable,It's on a Google Drive..... technically it is available but this is thin ice,Yes,No: datasets used but not referenced appropriately,No: infeasible,,No,,No,No,No: program uses external libraries but are not referenced appropriately,No,,No,,,Yes,Yes,"No attributes since it's all on a site
No requirements file, they are on the site but since it's not in a README this wouldn't count for automatability",,08:01:00
