Timestamp,Paper Name:,Year Published:,Venue,Institution (if applicable),Research Area:,Which (if any) ACM Badges does the report have?,Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?,F1. Software is assigned a globally unique and persistent identifier (DOI),F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,F1.2. Different versions of the software are assigned distinct identifiers.,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Has the software artefact been mentioned or cited in the paper for ease of findability?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),"A1.1. The protocol is open, free, and universally implementable.","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.","A2. Metadata are accessible, even when the software is no longer available.",A1 follow-up: Which of these protocols are available to download the software?,Does the software require the use of any 3rd party tools in order to retrieve it?,Does the software metadata (i.e. README) describe how to retrieve the artefact?,Is the software source code available?,Has the software been deployed onto a web server (if feasible)?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?","I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Has sufficient effort been made to allow integration via APIs or interfaces with other tools?,Is the software sufficiently modular?,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",R1.1. Software is given a clear and accessible license.,R1.2. Software is associated with detailed provenance (version history).,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks","R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",R2 follow-up: Is there a file / project manager tool to help with the installation of other software / libraries?,Does the software require the use of any 3rd party tools in order to execute it?,Is the software itself documented well? Which of the following code readability standards have been implemented?,Have any containerisation engines / orchestrators been employed in the reuse of the software?,"Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?",How long did this form take to complete?,Anything else to note?,DOI (of paper),"If F1 is met, please input the DOI of the latest version",Please input any links to GitHub if available,Any additional notes for F?,Any additional notes for A?,Any additional notes for I?,Any additional notes for R?,"Link to artefact repository (Github, Zenodo, Figshare etc)",(R1) Please list the software attributes in the repository.,Reviewer Name
16/02/2026 20:20:41,What Guides Our Choices? Modeling Developers' Trust and Behavioral Intentions Towards Genai,2025,ICSE,"GitHub Inc., Oregon State University, Northern Arizona University",Human and Social using AI ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:03:00,survey,10.1109/ICSE55347.2025.00087,,,,,,,,,Emma
17/02/2026 20:21:48,Large Language Models as Configuration Validators,2025,ICSE,"University of Illinois Urbana-Champaign, Meta Platforms",AI for Security,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,requirements.txt (pip),Yes,"Docstrings, Inline comments",,Yes,00:12:00,,10.1109/ICSE55347.2025.00017,https://doi.org/10.5281/zenodo.14752194,https://github.com/xlab-uiuc/ciri,,,,Requires llm keys,,"README, paper",Emma
17/02/2026 20:31:30,LLM Assistance for Memory Safety,2025,ICSE,"Microsoft Research, IIT-Kanpur",AI for Security,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:09:00,,10.1109/ICSE55347.2025.00023,,,,,,,,,Emma
17/02/2026 20:42:29,Vulnerability Detection with Code Language Models: How Far are We?,2025,ICSE,"UC Berkeley, Columbia University, University of Washington ect.",AI for Security,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,environment.yml,No,"Docstrings, Inline comments",conda,Yes,00:15:00,,10.1109/ICSE55347.2025.00038,,https://github.com/DLVulDet/PrimeVul?tab=readme-ov-file#-primevul-dataset,,,,,,REAMDE environment.yml,Emma
17/02/2026 20:59:08,Combining Fine-Tuning and LLM-Based Agents for Intuitive Smart Contract Auditing with Justifications,2025,ICSE,"Nanyang Technological University, National University of Singapore, The Hong Kong University of Science and Technology,,MetaTrust Labs",AI for Security,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Download,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,,,Yes,00:15:00,,10.1109/ICSE55347.2025.00027,,https://anonymous.4open.science/r/iAudit-324F/README.md,,,,,,README,Emma
17/02/2026 21:10:10,Towards Neural Synthesis for SMT-Assisted Proof-Oriented Programming,2025,ICSE,"Microsoft Research, University of Cambridge, University of Ottawa ",AI for Security,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:10:00,github link given but repo unavailable,10.1109/ICSE55347.2025.00002,,https://github.com/microsoft/PoPAI-FStar,,,,,,,Emma
17/02/2026 21:19:26,Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and Defenses,2025,ICSE,"INESC-ID/IST, Universidade de Lisboa, ",AI for Security,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Git (clone),No,No,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,No,Docstrings,Docker,Yes,00:10:00,,10.1109/ICSE55347.2025.00007,,https://github.com/rodrigo-pedro/P2SQL,,,,,,,Emma
23/02/2026 17:28:02,Boosting Path-Sensitive Value Flow Analysis Via Removal of Redundant Summaries,2025,ICSE,The Hong Kong University of Science and Technology,Analysis,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:07:30,,10.1109/ICSE55347.2025.00195,,,,,,,,,Emma
23/02/2026 17:36:58,Dockerfile Flakiness: Characterization and Repair,2025,ICSE ,University of British Columbia,Analysis,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,requirements.txt (pip),No,"Docstrings, Inline comments",Docker,Yes,00:06:42,,10.1109/ICSE55347.2025.00238,,https://github.com/flakidock/docker-flakiness-study,,,,,,REAMDE,Emma
23/02/2026 17:45:22,Evaluating Garbage Collection Performance Across Managed Language Runtimes,2025,ICSE,University of Chinese Academy of Sciences,Analysis,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:05:00,,10.1109/ICSE55347.2025.00218,,,,,,,,,Emma
23/02/2026 18:09:30,Module-Aware Context Sensitive Pointer Analysis,2025,ICSE,"SKLP, Institute of Computing Technology, Huawei Technologies Co. Ltd",Analysis,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:14:00,all three badges with with tool mentioned but cant for the life of me find it,10.1109/ICSE55347.2025.00227,,,,,,,,,Emma
23/02/2026 18:17:52,Code Comment Inconsistency Detection and Rectification Using a Large Language Model,2025,ICSE,"Nanjing University, Southern Cross University, Zhongxing Telecom Equipment",AI for Program Comprehension,,Yes,No,No,No,No,No,No,No,Yes,Yes,Not necessary,No,Git (clone),No,No,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,Yes,No,Yes,Yes,No,Yes,Yes,requirements.txt (pip),No,Inline comments,,Yes,00:06:30,,10.1109/ICSE55347.2025.00035,,https://github.com/aiopsplus/C4RLLaMA,,,,,,README,Emma
23/02/2026 18:28:23,Context Conquers Parameters: Outperforming Proprietary Llm in Commit Message Generation,2025,ICSE,University of California,AI for Program Comprehension,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,No,"Docstrings, Inline comments",,Yes,00:09:45,,10.1109/ICSE55347.2025.00048,,https://github.com/aaron-imani/omega?tab=readme-ov-file,,,,,,REAME,Emma
23/02/2026 18:39:44,Hedgecode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,2025,ICSE,"Wuhan University, University of Luxembourg",AI for Program Comprehension,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Not necessary,Software is currently available,Git (clone),No,Yes,Yes,Infeasable,No,Yes,No but no clear constraints not to,Yes,Yes,No,No,Yes,No,env.yml,No,,conda,Yes,00:09:30,,10.1109/ICSE55347.2025.00008,,https://github.com/repo-anonymous/hedgecode,,,,,,README,Emma
23/02/2026 18:47:25,Reasoning Runtime Behavior of a Program with LLM: How Far are We?,2025,ICSE,"Zhejiang University,  Peking University, York University(Toronto)",AI for Program Comprehension,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,No,Yes,No,No,Yes,No,requirements.txt (pip),No,,,Yes,00:07:13,,10.1109/ICSE55347.2025.00012,,https://github.com/r-eval/REval,,,,,,README,Emma
24/02/2026 19:14:20,Source Code Summarization in the Era of Large Language Models,2025,ICSE,"Nanyang Technological University, Nanjing University,Chongqing University,  University of New South Wales",AI for Program Comprehension ,,Yes,No,No,No,No,No,No,No,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No: program uses external libraries but are not referenced appropriately,Yes,requirements.txt (pip),No,Inline comments,,Yes,00:07:11,,10.1109/ICSE55347.2025.00034,,https://github.com/wssun/LLM4CodeSummarization?tab=readme-ov-file,,,,,,README,Emma
24/02/2026 19:22:30,Template-Guided Program Repair in the Era of Large Language Models,2025,ICSE,"Nanyang Technological University, Technical University of Munich, Beihang University",AI for Program Comprehension ,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,"Download, google drive",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,No,No,No,Yes,No,,No,,,Yes,00:10:00,No github only available through a link to google drive,10.1109/ICSE55347.2025.00030,,,,,,,https://sites.google.com/view/neuraltemplaterepair,,Emma
24/02/2026 19:30:22,Dissecting Global Search: A Simple Yet Effective Method to Boost Individual Discrimination Testing and Repair,2025,ICSE,"Singapore Management University, Nanyang Technological University,  Tianjin University, Nankai University",SE for AI,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Download,No,No,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,No,No: program uses external libraries but are not referenced appropriately,Yes,environment.yml,No,Docstrings,,Yes,00:07:26,,10.1109/ICSE55347.2025.00235,,https://anonymous.4open.science/r/GRFT-8C8A/readme.md,,,,,,README,Emma
24/02/2026 19:38:27,FIXDRIVE: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,2025,ICSE,"Singapore Management University, Zhejiang University",SE for AI,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,No,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,Yes,,,Yes,00:07:00,,10.1109/ICSE55347.2025.00216,https://doi.org/10.5281/zenodo.14832825,https://github.com/lawbreaker2022/FixDrive2025,,,,,https://github.com/lawbreaker2022/FixDrive2025,README,Emma
24/02/2026 19:46:41,MARQ: Engineering Mission-Critical AI-Based Software with Automated Result Quality Adaptation,2025,ICSE,"Technical University of Darmstadt, Huawei Technologies",SE for AI,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,"Docstrings, Inline comments",,Yes,00:07:42,,10.1109/ICSE55347.2025.00182,https://doi.org/10.5281/zenodo.14731336,https://github.com/Gropi/MARQ,,,,,https://zenodo.org/records/14731336,Multiple READMEs,Emma
24/02/2026 19:54:22,Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,2025,ICSE,Peking University,Program Comprehension,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,requirements.txt (pip),No,,,Yes,00:06:48,,10.1109/ICSE55347.2025.00096,,https://github.com/Jiashuo-Zhang/SolMigrator,,,,,https://github.com/Jiashuo-Zhang/SolMigrator,Multiple README Casestudy.md,Emma
24/02/2026 20:02:08,Boosting Code-line-level Defect Prediction with Spectrum Information and Causality Analysis,2025,ICSE,Nanjing University,Program Comprehension,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,No: datasets used but not referenced appropriately,Yes,Yes,Yes,No,No,No: program uses external libraries but are not referenced appropriately,No,environment.yml,No,,,Yes,00:06:00,,10.1109/ICSE55347.2025.00240,,https://github.com/shiyusunse/SOUND/tree/main,,,,,,"README, appendix",Emma
24/02/2026 20:08:38,DPFuzzer: Discovering Safety Critical Vulnerabilities for Drone Path Planners,2025,ICSE,Xidian University,Testing and QA,,Yes,No,No,No,No,No,No,No,Yes,Yes,Not necessary,No,Git (clone),No,No,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,Yes,Yes,No: program does not use external libraries,No,,No,,,Yes,00:05:55,,10.1109/ICSE55347.2025.00051,,https://github.com/ywang-scholar/DPFuzzer,,,,,https://github.com/ywang-scholar/DPFuzzer,README,Emma
01/03/2026 22:26:43,IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,2025,ICSE,"University of California, Advanced Micro Devices",Testing and QA,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,No,Yes,Infeasable,No,No: no datasets used,No but no clear constraints not to,No,Yes,Yes,Yes,Yes,No,requirements.txt (pip),No,,Docker,Yes,00:07:35,,10.1109/ICSE55347.2025.00130,https://doi.org/10.5281/zenodo.13139630,https://github.com/SecurityLab-UCD/IRFuzzer,,,,,,README,Emma
01/03/2026 22:32:38,Ranking Relevant Tests for Order-Dependent Flaky Tests,2025,ICSE,"The University of Texas at Austin, George Mason University",Testing and QA,,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Yes,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,Artefact Unavailable,No,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,Artefact Unavailable,,Artefact Unavailable,,,Artefact Unavailable,00:05:00,,10.1109/ICSE55347.2025.00178,,,,Repo provided but is expired,,,,,Emma
01/03/2026 22:41:27,Selecting Initial Seeds for Better JVM Fuzzing,2025,ICSE,Tianjin University,Testing and QA,,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Not necessary,No,Git (clone),No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,No,No,No: program uses external libraries but are not referenced appropriately,Yes,,No,Inline comments,,Yes,00:07:14,,10.1109/ICSE55347.2025.00028,,,Data is provided on zenodo but not code???,,,,,README,Emma
01/03/2026 22:51:25,Toward a Better Understanding of Probabilistic Delta Debugging,2025,ICSE,"University of Waterloo, The Hong Kong University of Science and Technology",Testing and QA,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,No: no datasets used,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,"Docstrings, Inline comments",,Yes,00:09:27,, 10.1109/ICSE55347.2025.00117,https://doi.org/10.5281/zenodo.14425530,https://github.com/uw-pluverse/perses,,,,,,"README, CONTRIBUTORS, BUILD, WORKSPACE",Emma
01/03/2026 22:57:15,Tumbling Down the Rabbit Hole: How do Assisting Exploration Strategies Facilitate Grey-Box Fuzzing?,2025,ICSE,"Southern University of Science and Technology, Shenzhen",Testing and QA,,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not necessary,No,Git (clone),No,No,Yes,Infeasable,No,No: no datasets used,No but no clear constraints not to,No,Yes,No,No,No: program does not use external libraries,No,,No,,,No,00:07:15,,10.1109/ICSE55347.2025.00044,,https://github.com/SophrosyneX/Fuzzing-empirical-study,,,,,,README,Emma
01/03/2026 23:01:24,Relationship Status: “It's Complicated” Developer-Security Expert Dynamics in Scrum,2025,ICSE,Ruhr University Bochum,Human and Social,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:02:00,,10.1109/ICSE55347.2025.00120,,,,,,,,,Emma
01/03/2026 23:08:05,Measuring the Runtime Performance of C++ Code Written by Humans Using Github Copilot,2025,ICSE,,Human and Social using AI 2,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,,No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,Yes,00:05:30,,10.1109/ICSE55347.2025.00059,https://doi.org/10.5281/zenodo.14868331,,,,,,,,Emma
01/03/2026 23:13:02,A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,2025,ICSE,Carnegie Mellon University,Security and Analysis ,"Artefact Available, Artefact Functional, Artefact Reusable",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not necessary,Yes,"Git (clone), Download",No,Yes,Yes,Infeasable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,Docker,Yes,00:10:28,,10.1109/ICSE55347.2025.00167,https://doi.org/10.5281/zenodo.14867373,https://github.com/icmccorm/mirilli,,,,,,"README.md, USAGE.md, DATASET.md , appendix.pdf",Emma
