Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
Chatgpt-Based Test Generation for Refactoring Engines Enhanced by Feature Analysis on Examples,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Decoding Secret Memorization in Code LLMs Through Token-Level Characterization,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Enhancing the Open Network: Definition and Automated Detection of Smart Contract Defects,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Fidelity of Cloud Emulators: The Imitation Game of Testing Cloud-Based Software,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Improved Detection and Diagnosis of Faults in Deep Neural Networks Using Hierarchical and Explainable Classification,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Patch Synthesis for Property Repair of Deep Neural Networks,37,17,"A, F, I, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?
Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
The Fact Selection Problem in LLM-Based Program Repair,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Towards Understanding the Characteristics of Code Generation Errors Made by Large Language Models,37,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?
A Catalog of Micro Frontends Anti-Patterns,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Hints Help Finding and Fixing Bugs Differently in Python and Text-Based Program Representations,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
Intention is All you Need: Refining your Code from your Intention,36,17,"A, F, I, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Leveraging Large Language Models to Detect NPM Malicious Packages,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
On Prescription or Off Prescription? An Empirical Study of Community-Prescribed Security Configurations for Kubernetes,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference,36,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
EP-Detector: Automatic Detection of Error-Prone Operation Anomalies in Android Applications,35,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
"How Scientists Use Jupyter Notebooks: Goals, Quality Attributes, and Opportunities",35,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Ranking Relevant Tests for Order-Dependent Flaky Tests,35,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for I?; Any additional notes for R?
ZTDJAVA: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust Dependencies,35,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Execution Trace Reconstruction Using Diffusion-Based Generative Models,34,17,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,34,17,"A, F, I, R",Any additional notes for F?; Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Measuring the Runtime Performance of C++ Code Written by Humans Using Github Copilot,34,17,"A, F, I, R",Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
Neurosymbolic Modular Refinement Type Inference,34,17,"A, F, I, R",Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,32,17,"A, F, I, R",A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
SECRET: Towards Scalable and Efficient Code Retrieval via Segmented Deep Hashing,32,17,"A, F, I, R","Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
User Personas Improve Social Sustainability by Encouraging Software Developers to Deprioritize Antisocial Features,32,17,"A, F, I, R",Anything else to note?; Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,31,17,"A, F, I, R","Are any software artefacts/tools/scripts mentioned in and used in the process of gathering results for the report?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?"
Formally Verified Binary-Level Pointer Analysis,29,12,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,29,8,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?
The Same Only Different: On Information Modality for Configuration Performance Analysis,28,11,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Fairness Testing Through Extreme Value Theory,28,8,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Similar but Patched Code Considered Harmful: The Impact of Similar but Patched Code on Recurring Vulnerability Detection and How to Remove Them,26,11,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?
Tiver: Identifying Adaptive Versions of C/C++ Third-Party Open-Source Components Using a Code Clustering Technique,26,11,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
INTERTRANS: Leveraging Transitive Intermediate Translations to Enhance LLM-Based Code Translation,26,8,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?
Exploring the Robustness of the Effect of EVO on Intention Valuation Through Replication,25,10,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak Attacks,25,9,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
"Automated, Unsupervised, and Auto-Parameterized Inference of Data Patterns and Anomaly Detection",24,8,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for R?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Parametric Falsification of Many Probabilistic Requirements Under Flakiness,24,7,"F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?
Calibration and Correctness of Language Models for Code,24,6,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Exposing the Hidden Layer: Software Repositories in the Service of Seo Manipulation,23,9,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,23,8,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Constrained LTL Specification Learning from Examples,23,8,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Model Editing for LLMs4Code: How Far are we?,23,7,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Understanding the Response to Open-Source Dependency Abandonment in the npm Ecosystem,23,4,"I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for I?; Any additional notes for R?
The Seeds of the Future Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,22,9,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
Fork State-Aware Differential Fuzzing for Blockchain Consensus Implementations,22,7,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
GenC2Rust: Towards Generating Generic Rust Code from C,22,6,"F, I",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Anything else to note?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Mock Deep Testing: Toward Separate Development of Data and Models for Deep Learning,22,6,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,21,8,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Anything else to note?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
"Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets",21,8,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Fuzzing MLIR Compilers with Custom Mutation Synthesis,21,7,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
GVI: Guided Vulnerability Imagination for Boosting Deep Vulnerability Detectors,21,7,"F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
SOEN-101: Code Generation by Emulating Software Process Models Using Large Language Model Agents,21,7,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Towards More Trustworthy Deep Code Models by Enabling Out-of-Distribution Detection,21,7,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,21,6,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for R?; Anything else to note?
Selecting Initial Seeds for Better JVM Fuzzing,21,5,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
HIFI: Explaining and Mitigating Algorithmic Bias Through the Lens of Game-Theoretic Interactions,20,9,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Are LLMs Correctly Integrated into Software Systems?,20,6,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models,20,6,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution Framework,20,1,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,19,7,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software artefact been mentioned or cited in the paper for ease of findability?
ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,19,6,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for I?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Combining Fine-Tuning and LLM-Based Agents for Intuitive Smart Contract Auditing with Justifications,19,6,"A, F, I, R","(R1) Please list the software attributes in the repository.; Any additional notes for I?; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?"
Feature-Driven End-to-End Test Generation,19,6,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,19,6,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Gpass: A Goal-Adaptive Neural Theorem Prover Based on Coq for Automated Formal Verification,19,5,"I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?
Knowledge-Enhanced Program Repair for Data Science Code,19,5,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Does the software require the use of any 3rd party tools in order to retrieve it?
"UML is Back. Or is it? Investigating the Past, Present, and Future of UML in Open Source Software",19,5,"F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Enhancing Code Generation via Bidirectional Comment-Level Mutual Grounding,19,4,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
Unveiling the Energy Vampires: A Methodology for Debugging Software Energy Consumption,19,3,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
FIXDRIVE: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,18,10,"A, F, I, R","(R1) Please list the software attributes in the repository.; Any additional notes for R?; Given the appropriate time and resources, would it be possible to attempt to reproduce the results using the provided software?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; How long did this form take to complete?"
Closing the Gap: A User Study on the Real-world Usefulness of AI-powered Vulnerability Detection & Repair in the IDE,18,8,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Anything else to note?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and Defenses,18,8,"A, F, I, R",(R1) Please list the software attributes in the repository.; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software been deployed onto a web server (if feasible)?; How long did this form take to complete?
A Tale of Two DL Cities: When Library Tests Meet Compiler,18,6,"A, F, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Anything else to note?
MAGIKA: AI-Powered Content-Type Detection,18,6,"A, F",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Anything else to note?
Preserving Privacy in Software Composition Analysis: A Study of Technical Solutions and Enhancements,18,6,"A, F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Cooperative Software Verification via Dynamic Program Splitting,18,5,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?; Anything else to note?
DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,18,5,"A, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Vulnerability Detection with Code Language Models: How Far are We?,18,5,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Chatgpt Inaccuracy Mitigation During Technical Report Understanding: Are we There Yet?,18,4,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
LWDIFF: an LLM-Assisted Differential Testing Framework for Webassembly Runtimes,18,4,"F, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Source Code Summarization in the Era of Large Language Models,18,4,"A, I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for I?; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,18,3,"I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
Faster Configuration Performance Bug Testing with Neural Dual-Level Prioritization,18,3,"I, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Interactive Cross-Language Pointer Analysis For Resolving Native Code in Java Programs,18,3,"A, R",Any additional notes for F?; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to retrieve it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Reasoning Runtime Behavior of a Program with LLM: How Far are We?,18,3,"A, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for A?; Any additional notes for I?; Does the software metadata (i.e. README) describe how to retrieve the artefact?
FairSense: Long-Term Fairness Analysis of ML-Enabled Systems,18,2,R,(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Any additional notes for F?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?
Clozemaster: Fuzzing Rust Compiler by Harnessing Llms for Infilling Masked Real Programs,17,7,"F, R","(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; How long did this form take to complete?; If F1 is met, please input the DOI of the latest version"
Scenario-Driven and Context-Aware Automated Accessibility Testing for Android Apps,17,7,"A, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for F?; Any additional notes for R?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
Janus: Detecting Rendering Bugs in Web Browsers via Visual Delta Consistency,17,6,"A, F, R",(R1) Please list the software attributes in the repository.; Any additional notes for R?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?; Has the software been deployed onto a web server (if feasible)?
Licoeval: Evaluating LLMs on License Compliance in Code Generation,17,6,"A, F, R",(R1) Please list the software attributes in the repository.; A1 follow-up: Which of these protocols are available to download the software?; Does the software metadata (i.e. README) describe how to retrieve the artefact?; Does the software require the use of any 3rd party tools in order to execute it?; Has sufficient effort been made to allow integration via APIs or interfaces with other tools?
LLM-Aided Automatic Modeling for Security Protocol Verification,17,5,"F, I, R",(R1) Please list the software attributes in the repository.; Any additional notes for A?; Any additional notes for F?; Any additional notes for I?; Any additional notes for R?
