Paper Name:,Differences,FAIR Differences,FAIR Letters,Example Fields
3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Enhancing the Open Network: Definition and Automated Detection of Smart Contract Defects,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Execution Trace Reconstruction Using Diffusion-Based Generative Models,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Fidelity of Cloud Emulators: The Imitation Game of Testing Cloud-Based Software,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Hints Help Finding and Fixing Bugs Differently in Python and Text-Based Program Representations,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
"How Scientists Use Jupyter Notebooks: Goals, Quality Attributes, and Opportunities",17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Improved Detection and Diagnosis of Faults in Deep Neural Networks Using Hierarchical and Explainable Classification,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Increasing the Effectiveness of Automatically Generated Tests by Improving Class Observability,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Intention is All you Need: Refining your Code from your Intention,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Iterative Generation of Adversarial Example for Deep Code Models,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Leveraging Large Language Models to Detect NPM Malicious Packages,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Measuring the Runtime Performance of C++ Code Written by Humans Using Github Copilot,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Mobile Application Coverage: The 30% Curse and Ways Forward,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Neurosymbolic Modular Refinement Type Inference,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
On Prescription or Off Prescription? An Empirical Study of Community-Prescribed Security Configurations for Kubernetes,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Patch Synthesis for Property Repair of Deep Neural Networks,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Ranking Relevant Tests for Order-Dependent Flaky Tests,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
SECRET: Towards Scalable and Efficient Code Retrieval via Segmented Deep Hashing,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Studying Programmers Without Programming: Investigating Expertise Using Resting State fMRI,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
TIGER: A Generating-Then-Ranking Framework for Practical Python Type Inference,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
The Fact Selection Problem in LLM-Based Program Repair,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Towards Understanding the Characteristics of Code Generation Errors Made by Large Language Models,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
User Personas Improve Social Sustainability by Encouraging Software Developers to Deprioritize Antisocial Features,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Who's Pushing the Code? An Exploration of GitHub Impersonation,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
ZTDJAVA: Mitigating Software Supply Chain Vulnerabilities via Zero-Trust Dependencies,17,17,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Efficient Domain Augmentation for Autonomous Driving Testing Using Diffusion Models,16,16,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI)"
Formally Verified Binary-Level Pointer Analysis,12,12,"F, I, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
Similar but Patched Code Considered Harmful: The Impact of Similar but Patched Code on Recurring Vulnerability Detection and How to Remove Them,11,11,"A, F, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page."
The Same Only Different: On Information Modality for Configuration Performance Analysis,11,11,"F, I, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
Tiver: Identifying Adaptive Versions of C/C++ Third-Party Open-Source Components Using a Code Clustering Technique,11,11,"F, I, R","F1. Software is assigned a globally unique and persistent identifier (DOI); F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
Exploring the Robustness of the Effect of EVO on Intention Valuation Through Replication,10,10,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
FIXDRIVE: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,10,10,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page."
Exposing the Hidden Layer: Software Repositories in the Service of Seo Manipulation,9,9,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page."
HIFI: Explaining and Mitigating Algorithmic Bias Through the Lens of Game-Theoretic Interactions,9,9,"F, I, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
The Seeds of the Future Sprout from History: Fuzzing for Unveiling Vulnerabilities in Prospective Deep-Learning Libraries,9,9,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
Understanding the Effectiveness of Coverage Criteria for Large Language Models: A Special Angle from Jailbreak Attacks,9,9,"F, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,8,8,"F, I, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license."
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,8,8,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?"
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,8,8,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
"Automated, Unsupervised, and Auto-Parameterized Inference of Data Patterns and Anomaly Detection",8,8,"F, I, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
Closing the Gap: A User Study on the Real-world Usefulness of AI-powered Vulnerability Detection & Repair in the IDE,8,8,"A, F, R","A2. Metadata are accessible, even when the software is no longer available.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo); R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md"
Constrained LTL Specification Learning from Examples,8,8,"F, I, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
Fairness Testing Through Extreme Value Theory,8,8,"A, I, R","A2. Metadata are accessible, even when the software is no longer available.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?; I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries; R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md; R1.1. Software is given a clear and accessible license."
INTERTRANS: Leveraging Transitive Intermediate Translations to Enhance LLM-Based Code Translation,8,8,"A, F, I, R","A2. Metadata are accessible, even when the software is no longer available.; F1. Software is assigned a globally unique and persistent identifier (DOI); F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?"
Prompt-to-SQL Injections in LLM-Integrated Web Applications: Risks and Defenses,8,8,"A, F, I, R","A1.2. The protocol allows for an authentication and authorization procedure, where necessary.; A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?"
"Software Model Evolution with Large Language Models: Experiments on Simulated, Public, and Industrial Datasets",8,8,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A1.1. The protocol is open, free, and universally implementable.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?"
Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,7,7,"A, F, I, R","A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count); A2. Metadata are accessible, even when the software is no longer available.; F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?"
Clozemaster: Fuzzing Rust Compiler by Harnessing Llms for Infilling Masked Real Programs,7,7,"F, R",F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?
Fork State-Aware Differential Fuzzing for Blockchain Consensus Implementations,7,7,"F, R","F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
Fuzzing MLIR Compilers with Custom Mutation Synthesis,7,7,"F, I, R","F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo); I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries"
GVI: Guided Vulnerability Imagination for Boosting Deep Vulnerability Detectors,7,7,"F, R","F1. Software is assigned a globally unique and persistent identifier (DOI); F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.; F1.2. Different versions of the software are assigned distinct identifiers.; F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?; F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)"
