Paper Name:,Field,First Pass,Second Pass,Matches,FAIR Letter
Aligning the Objective of LLM-Based Program Repair,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,Yes,False,I
Aligning the Objective of LLM-Based Program Repair,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",No,Yes,False,R
Aligning the Objective of LLM-Based Program Repair,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
Aligning the Objective of LLM-Based Program Repair,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,"A2. Metadata are accessible, even when the software is no longer available.",Yes,Software is currently available,False,A
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",Yes,No,False,R
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,R1.1. Software is given a clear and accessible license.,Yes,No,False,R
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",Yes,No: program uses external libraries but are not referenced appropriately,False,R
An Empirical Study of Proxy Contracts at the Ethereum Ecosystem Scale,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,No,False,R
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),No,Yes,False,A
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,"A1.1. The protocol is open, free, and universally implementable.",No,Yes,False,A
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,No,Yes,False,F
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,F1.2. Different versions of the software are assigned distinct identifiers.,No,Yes,False,F
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",No,Yes,False,I
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No,No: no datasets used,False,I
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,R1.2. Software is associated with detailed provenance (version history).,No,Yes,False,R
An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far are We?,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No,No: program uses external libraries but are not referenced appropriately,False,R
An Empirical Study on Commit Message Generation Using LLMs via In-Context Learning,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",Yes,No: program uses external libraries but are not referenced appropriately,False,R
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,Yes,False,A
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",Yes,No,False,I
An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,R1.1. Software is given a clear and accessible license.,No,Yes,False,R
An Exploratory Study of ML Sketches and Visual Code Assistants,"A2. Metadata are accessible, even when the software is no longer available.",Yes,Software is currently available,False,A
An Exploratory Study of ML Sketches and Visual Code Assistants,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
An Exploratory Study of ML Sketches and Visual Code Assistants,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",Yes,No,False,R
An Exploratory Study of ML Sketches and Visual Code Assistants,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
An Exploratory Study of ML Sketches and Visual Code Assistants,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Yes,No,False,R
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,Yes,False,A
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,Yes,False,I
An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,No: datasets used but not referenced appropriately,False,I
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,R1.2. Software is associated with detailed provenance (version history).,No,Yes,False,R
An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program uses external libraries but are not referenced appropriately,Yes,False,R
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",No,Yes,False,R
Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
Answering User Questions About Machine Learning Models Through Standardized Model Cards,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,Yes,False,I
Answering User Questions About Machine Learning Models Through Standardized Model Cards,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",No,Yes,False,R
Answering User Questions About Machine Learning Models Through Standardized Model Cards,R1.2. Software is associated with detailed provenance (version history).,No,Yes,False,R
Answering User Questions About Machine Learning Models Through Standardized Model Cards,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program uses external libraries but are not referenced appropriately,Yes,False,R
Answering User Questions About Machine Learning Models Through Standardized Model Cards,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
Are LLMs Correctly Integrated into Software Systems?,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,Yes,False,A
Are LLMs Correctly Integrated into Software Systems?,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,No,Yes,False,F
Are LLMs Correctly Integrated into Software Systems?,F1.2. Different versions of the software are assigned distinct identifiers.,Yes,No,False,F
Are LLMs Correctly Integrated into Software Systems?,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
Are LLMs Correctly Integrated into Software Systems?,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",No: program uses external libraries but are not referenced appropriately,No: program does not use external libraries,False,R
Are LLMs Correctly Integrated into Software Systems?,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Yes,No: no datasets used,False,I
Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",No,Yes,False,R
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,No,False,A
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,F1. Software is assigned a globally unique and persistent identifier (DOI),Yes,No,False,F
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Yes,No,False,F
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,Yes,No,False,F
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Yes,No,False,F
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,No: datasets used but not referenced appropriately,False,I
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,R1.1. Software is given a clear and accessible license.,Yes,No,False,R
AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,"A2. Metadata are accessible, even when the software is no longer available.",Software is currently available,No,False,A
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Yes,No,False,F
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",No: no datasets used,Yes,False,I
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,R1.1. Software is given a clear and accessible license.,Yes,No,False,R
Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,R1.2. Software is associated with detailed provenance (version history).,Yes,No,False,R
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,A1. Software is retrievable by its identifier using a standardised communications protocol. (Github DOES count),Artefact Unavailable,Yes,False,A
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"A1.1. The protocol is open, free, and universally implementable.",Artefact Unavailable,Yes,False,A
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"A1.2. The protocol allows for an authentication and authorization procedure, where necessary.",Artefact Unavailable,Not necessary,False,A
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"A2. Metadata are accessible, even when the software is no longer available.",Artefact Unavailable,Software is currently available,False,A
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,F1. Software is assigned a globally unique and persistent identifier (DOI),Artefact Unavailable,No,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Artefact Unavailable,Yes,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,F1.2. Different versions of the software are assigned distinct identifiers.,Artefact Unavailable,Yes,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,F2. Software is described with rich metadata. NOTE you can check the metadata from Zenodo by exporting to JSON at the bottom right of the page.,Artefact Unavailable,No,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,F3. Metadata clearly and explicitly include the identifier of the software they describe. i.e. is the DOI in the metadata?,Artefact Unavailable,No,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"F4. Metadata are FAIR, searchable and indexable. i.e. can I export it to a machine-readable format (usually yes if on Zenodo)",Artefact Unavailable,No,False,F
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"I1. Software reads, writes and exchanges data in a way that meets domain-relevant community standards. i.e. is it reading/writing to appropriate files e.g. JSON, CSV, or is data being taken from an API?",Artefact Unavailable,Yes,False,I
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"I2. Software includes qualified references to other objects. e.g. This could mean datasets, etc not libraries",Artefact Unavailable,No: no datasets used,False,I
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"R1. Software is described with a plurality of accurate and relevant attributes. e.g. README, CITATION.cff, CONTRIBUTING.md",Artefact Unavailable,No,False,R
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,R1.1. Software is given a clear and accessible license.,Artefact Unavailable,No,False,R
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,R1.2. Software is associated with detailed provenance (version history).,Artefact Unavailable,No,False,R
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"R2. Software includes qualified references to other software. e.g. external libraries, frameworks",Artefact Unavailable,No: program uses external libraries but are not referenced appropriately,False,R
Automated Generation of Accessibility Test Reports from Recorded User Transcripts,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",Artefact Unavailable,No,False,R
Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,"A2. Metadata are accessible, even when the software is no longer available.",No,Software is currently available,False,A
Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,"R3. Software meets domain-relevant community standards. i.e. well documented? docstrings? inline comments, indents okay?",No,Yes,False,R
"Automated, Unsupervised, and Auto-Parameterized Inference of Data Patterns and Anomaly Detection",F1. Software is assigned a globally unique and persistent identifier (DOI),Yes,No,False,F
"Automated, Unsupervised, and Auto-Parameterized Inference of Data Patterns and Anomaly Detection",F1.1. Components of the software representing levels of granularity are assigned distinct identifiers. e.g. datasets. Software tools on their own are assumed to be sufficient granular so long as it is just the software.,Yes,No,False,F
